760;558
995;475
380;372
1360;245
795;193
562;248
383;564
1245;108
163;456
180;270
343;228
1164;348
1300;385
474;172
362;480
272;222
75;212
622;189
727;192
265;470
1145;445
96;55
1060;375
1085;265
1220;237
385;267
928;543
995;155
1075;197
1441;457
830;637
380;474
707;579
274;136
112;385
1350;155
634;112
771;380
595;241
672;340
343;161
538;469
340;303
997;410
137;370
896;495
1200;510
203;520
1247;360
715;395
710;457
955;151
1150;130
380;163
835;120
1290;440
745;45
890;270
160;130
855;220
1090;140
1090;330
1045;535
290;380
1400;365
720;270
490;103
657;419
1140;210
595;540
620;270
1230;450
1340;475
530;80
1320;110
1440;220
290;180
560;130
910;588
840;550
440;160
